,2_digit_naics,3_digit_naics,industry,total_wages,avg_employment,avg_wage,year
57,49,491.0,Postal service,5105092,177,28842,2016
58,49,492.0,Couriers and messengers,260034887,6176,42104,2016
59,49,493.0,Warehousing and storage,181957871,3355,54235,2016
60,51,nan,Information,17539038035,95632,183401,2016
61,51,511.0,"Publishing industries, except Internet",12251072078,58914,207948,2016
62,51,512.0,Motion picture and sound recording industries,82952005,2678,30975,2016
63,51,515.0,"Broadcasting, except Internet",182865749,2146,85212,2016
64,51,516.0,Internet publishing and broadcasting,0,0,0,2016
65,51,517.0,Telecommunications,1572467109,11215,140211,2016
66,51,518.0,"ISPs, search portals, and data processing",804095699,6864,117147,2016
67,51,519.0,Other information services,2645585395,13815,191501,2016
68,52,nan,Finance and insurance,4557891999,41144,110779,2016
69,52,522.0,Credit intermediation and related activities,1507145792,15173,99331,2016
70,52,524.0,Insurance carriers and related activities,1688738376,17395,97082,2016
71,53,nan,Real estate and rental and leasing,1573003354,26008,60482,2016
72,53,531.0,Real estate,1312132265,21092,62210,2016
73,53,532.0,Rental and leasing services,249760979,4765,52416,2016
74,53,533.0,Lessors of nonfinancial intangible asset,11110110,152,73093,2016
75,54,nan,Professional and technical services,11789886592,117875,100020,2016
76,54,541.0,Professional and technical services,11789886592,117875,100020,2016
77,55,nan,Management of companies and enterprises,3562238447,30858,115440,2016
78,55,551.0,Management of companies and enterprises,3562238447,30858,115440,2016
79,56,nan,Administrative and waste services,3862277295,69401,55652,2016
80,56,561.0,Administrative and support services,3675772965,66602,55190,2016
81,56,562.0,Waste management and remediation service,186504330,2799,66632,2016
82,61,nan,Educational services,831526543,21489,38695,2016
83,61,611.0,Educational services,831526543,21489,38695,2016
84,62,nan,Healthcare and social assistance,7884351834,144614,54520,2016
85,62,621.0,Ambulatory healthcare services,3695294501,55596,66467,2016
86,62,622.0,Hospitals,2416602646,29182,82811,2016
87,62,623.0,Nursing and residential care facilities,721790308,20574,35083,2016
88,62,624.0,Social assistance,1050664379,39262,26760,2016
89,71,nan,"Arts, entertainment, and recreation",1054707192,25336,41629,2016
90,71,711.0,Performing arts and spectator sports,607469236,7309,83112,2016
91,71,712.0,"Museums, historical sites, zoos, and parks",75051612,1968,38136,2016
92,71,713.0,"Amusements, gambling, and recreation",372186344,16059,23176,2016
93,72,nan,Accommodation and food services,2800604954,108170,25891,2016
94,72,721.0,Accommodation,492345410,13779,35732,2016
95,72,722.0,Food services and drinking places,2308259544,94391,24454,2016
96,81,nan,"Other services, except public administration",1962869449,43860,44753,2016
97,81,811.0,Repair and maintenance,430824112,8694,49554,2016
98,81,812.0,Personal and laundry services,527218834,15851,33261,2016
99,81,813.0,Membership associations and organization,832252101,14706,56593,2016
100,81,814.0,Private households,172574402,4609,37443,2016
