year,ZipCode,SalePrice
2011,98102.0,1
2011,98115.0,1
2011,98116.0,1
2011,98118.0,1
2011,98125.0,1
2012,98103.0,1
2012,98112.0,1
2012,98118.0,1
2012,98122.0,1
2012,98125.0,1
2013,98103.0,1
2013,98107.0,1
2013,98109.0,1
2013,98117.0,1
2013,98118.0,1
2013,98122.0,1
2013,98133.0,1
2014,98102.0,1
2014,98105.0,1
2014,98117.0,1
2014,98118.0,1
2015,98103.0,1
2015,98105.0,1
2015,98109.0,1
2015,98115.0,1
2015,98117.0,1
2015,98118.0,1
2015,98122.0,1
2015,98125.0,1
2015,98126.0,1
2015,98133.0,1
2016,98101.0,1
2016,98102.0,1
2016,98103.0,1
2016,98104.0,1
2016,98105.0,1
2016,98107.0,1
2016,98109.0,1
2016,98112.0,1
2016,98115.0,1
2016,98116.0,1
2016,98117.0,1
2016,98118.0,1
2016,98121.0,1
2016,98122.0,1
2016,98125.0,1
2016,98126.0,1
2016,98133.0,1
2017,98101.0,1
2017,98102.0,1
2017,98103.0,1
2017,98104.0,1
2017,98105.0,1
2017,98107.0,1
2017,98109.0,1
2017,98112.0,1
2017,98115.0,1
2017,98116.0,1
2017,98117.0,1
2017,98118.0,1
2017,98121.0,1
2017,98122.0,1
2017,98125.0,1
2017,98126.0,1
2017,98133.0,1
