zipcode,neighborhood,2011,2012,2013,2014,2015,2016,2017
98103.0,Wallingford,1656.7634854771784,1600.1659751037346,1766.579377593361,1962.0980497925311,1970.622406639004,2170.0,2300.0
98115.0,Wedgewood,1352.3746701846965,1304.9406332453825,1453.8027704485487,1602.160290237467,1658.1728232189973,1930.6662269129288,2295.0
98133.0,North Park,1316.9306825430576,1238.6800978099086,1318.185200935573,1475.0,1495.0,1597.5,1736.0
98122.0,Capitol Hill/Madrona,1807.0905172413793,1865.4346264367816,2100.387931034483,2195.0,2483.75,2485.0,2690.5
98125.0,Lake City,1081.1642430190025,1034.7430636095994,1085.2807534124365,1206.574802837006,1431.5692746899813,1678.5,1799.5
98105.0,University District,1143.4090909090908,1238.693181818182,1405.4403409090908,1575.3636363636363,1750.0511363636363,1865.9801136363635,2096.25
98118.0,Rainier Valley,1312.7121495327103,1286.6317757009344,1502.5193146417446,1663.3482866043614,1831.2769158878505,2192.0554205607477,2325.5
98102.0,Captiol Hill,1509.9239781306953,1558.3707367872948,1717.168445717261,1870.5831814631606,2009.1947409528768,2207.6918771153346,2584.5
98107.0,Ballard,1963.3598300970875,1904.8898665048544,1890.2943567961165,2116.7006067961165,2289.7072208737864,2415.0,2497.5
98117.0,Crown Hill,1289.4077214740657,1359.279217019369,1443.2964754664824,1610.7308690860868,1803.627635928949,2035.2323539849456,2295.0
98116.0,West Seattle/Alki,1412.5590179414542,1414.494806421152,1422.0963172804534,1517.7053824362606,1765.1085930122756,2000.0,2475.0
98144.0,Mt. Baker,1146.8399651466743,1209.4186755736275,1331.0413157130408,1604.9213621841416,1885.2163810630266,1917.9458321231486,2253.75
98112.0,Montlake,1778.9792899408283,1624.8872041420118,1691.3221153846155,1862.4842825443786,1877.8658099112424,2174.5161427514795,2495.0
98106.0,Highland Park,941.6518964779694,910.7493048623984,937.1986845857692,1028.9618387280764,1319.770069870241,1609.9035719378298,1892.75
98101.0,Downtown,2509.289617486339,2460.327868852459,2521.530054644809,2692.8961748633883,2815.3005464480875,3094.535519125683,3500.0
98126.0,West Seattle,1268.1358704564088,1234.641862530746,1273.2167258813884,1482.516739546324,1696.321057666029,1902.0176277671494,2197.5
98199.0,Magnolia,1643.7907263681593,1473.8431243781095,1416.3756218905473,1640.2437810945273,1875.0323383084578,2091.256218905473,2195.0
98104.0,Pioneer Square,1614.9635167464114,1482.2621411483256,1625.557894736842,2010.2153110047848,2317.180622009569,2602.413875598086,2838.75
98108.0,Georgetown/Beacon Hill,1087.953216374269,1087.953216374269,1299.4996751137103,1556.377517868746,1733.9254385964912,2123.019818063678,2512.114197530864
98109.0,Westlake,1551.9078888987488,1575.3470494276332,1667.6588117845417,1749.9099298961753,1871.6544280770254,2140.5626053775845,2555.2966101694915
98119.0,Queen Anne,1620.9293853913691,1590.6881655146642,1625.7074981318885,1776.9135975154118,1947.5345600597793,2153.1748552213708,2564.455445544554
98121.0,BellTown,2419.1158294340953,2411.3522998146022,2398.269199699832,2454.1666129601836,2558.859362584974,2931.5087843206497,3502.9045643153527
98136.0,Fauntleroy,1628.7626847957797,1564.4694209222619,1530.0189470300352,1615.743298861392,1800.104233018704,2086.209257255857,2407.7827320632346
98177.0,Richmond Beach,1236.2979915340013,1293.8680911397691,1332.778757539981,1359.1761073592156,1577.606439196768,1818.189320882623,2009.9570029027575
