"Major","ComplexType","ComplexDescr","NbrBldgs","NbrStories","NbrUnits","AvgUnitSize","LandPerUnit","ProjectLocation","ProjectAppeal","PcntWithView","ConstrClass","BldgQuality","Condition","YrBuilt","EffYr","PcntComplete","Elevators","SectySystem","Fireplace","Laundry","AptConversion","CondoLandType","Address","BuildingNumber","Fraction","DirectionPrefix","StreetName","StreetType","DirectionSuffix","ZipCode"
"261775","1","15 CONDO UNITS","1","4","15","1070","944","3","3","0","4","6","3","2002","2002","100","Y","Y","Y","2","N","1","1415         6TH                       AVE  N  98109","1415 ","   ","  ","6TH                      ","AVE ","N ","98109"
"269330","3"," ","0","1","1","1","0","3","3","0","4","4","4","2007","2007","0","N","Y","N","0","N","0","2010      S  344TH                     ST      98003","2010 ","   ","S ","344TH                    ","ST  ","  ","98003"
"286300","4","22 Res Units + 2 Coml Units","1","4","22","1145","1657","3","3","0","4","5","4","1980","1996","100","Y","Y","Y","2","N","1","5025         CALIFORNIA                AVE  SW 98136","5025 ","   ","  ","CALIFORNIA               ","AVE ","SW","98136"
"290923","1","FLATS & PKG","3","3","22","915","613","4","3","0","4","4","3","1987","1987","100","N","N","N","2","Y","1","734       N  94TH                      ST      98103","734  ","   ","N ","94TH                     ","ST  ","  ","98103"
"306615","1","18 UNIT CONDO","2","2","18","837","1872","3","3","0","4","4","4","1979","1989","100","N","N","Y","2","N","1","9927      NE 124TH                     ST      98034","9927 ","   ","NE","124TH                    ","ST  ","  ","98034"
"311100","1","14Unit Condo","1","3","14","691","470","3","3","15","4","5","5","1928","2004","100","N","N","N","1","Y","1","2203         YALE                      AVE  E  98102","2203 ","   ","  ","YALE                     ","AVE ","E ","98102"
"314865","4","FLATS","1","3","5","2366","14902","3","3","0","3","7","4","1996","1996","100","Y","Y","Y","2","N","1","1401         BROADWAY                          98122","1401 ","   ","  ","BROADWAY                 ","    ","  ","98122"
"325947","1","62 Unit Condo","5","3","62","1107","1935","3","3","0","4","4","4","1996","1997","100","N","Y","Y","2","N","1","14100     SE 171ST                     WAY     98058","14100","   ","SE","171ST                    ","WAY ","  ","98058"
"327840","2","Townhouse","11","3","52","1546","0","3","3","0","4","4","3","2018","2018","75","Y","N","Y","2","Y","1","3430      SW GRAHAM                    ST      ","3430 ","   ","SW","GRAHAM                   ","ST  ","  ",""
"329551","1","13 Unit Condo","1","3","13","1120","576","4","3","0","4","6","5","1916","1990","100","Y","Y","N","2","Y","1","1216         1ST                       AVE  W  98119","1216 ","   ","  ","1ST                      ","AVE ","W ","98119"
"329940","1","20 FLAT UNITS","1","5","20","1137","854","3","3","0","2","6","5","1963","2000","100","Y","Y","Y","2","Y","1","900          WARREN                    AVE  N   ","900  ","   ","  ","WARREN                   ","AVE ","N "," "
"361450","1","57 Unit Condo","3","3","57","928","1682","3","3","0","4","4","4","1986","2005","100","N","N","Y","2","Y","1","1011         156TH                     AVE  NE 98007","1011 ","   ","  ","156TH                    ","AVE ","NE","98007"
"388295","1"," Townhouse units","2","2","4","1423","3375","2","3","0","4","6","3","1992","1992","100","N","N","Y","2","Y","1","11412     NE 86TH                      ST      98033","11412","   ","NE","86TH                     ","ST  ","  ","98033"
