"Major","ComplexType","ComplexDescr","NbrBldgs","NbrStories","NbrUnits","AvgUnitSize","LandPerUnit","ProjectLocation","ProjectAppeal","PcntWithView","ConstrClass","BldgQuality","Condition","YrBuilt","EffYr","PcntComplete","Elevators","SectySystem","Fireplace","Laundry","AptConversion","CondoLandType","Address","BuildingNumber","Fraction","DirectionPrefix","StreetName","StreetType","DirectionSuffix","ZipCode"
"024850","1","41 UNIT CONDO","10","2","41","668","2515","3","3","0","4","3","4","1979","1979","100","N","N"," ","1","N","1","14000        140TH                     AVE  SE 98005","14000","   ","  ","140TH                    ","AVE ","SE","98005"
"025135","1","30 UNIT CONDOMINIUM","6","2","30","1084","2450","1","3","0","4","4","4","1989","1989","100","N","N"," ","2","Y","1","701          5TH                       AVE  S  98032","701  ","   ","  ","5TH                      ","AVE ","S ","98032"
"026090","1","5 UNIT CONDOMINIUM","1","2","5","938","1747","3","3","100","4","5","4","1972","1994","100","N","N","N","2","Y","0","716       W  ARGAND                    ST      ","716  ","   ","W ","ARGAND                   ","ST  ","  ",""
"046470","4","172 RES UNITS + 1 COM'L UNIT","1","6","173","777","269","3","4","0","2","5","3","2004","2004","100","Y","Y","Y","2","N","1","1545      NW 57TH                      ST      98107-3018","1545 ","   ","NW","57TH                     ","ST  ","  ","98107-3018"
"047100","1","6 UNIT CONDO","1","3","6","1014","833","3","3","0","4","4","3","1991","1991","100","Y","Y","Y","2","N","1","2222      NW 58TH                      ST      98107","2222 ","   ","NW","58TH                     ","ST  ","  ","98107"
"054500","1","8 UNIT CONDOMINIUM","1","3","8","771","750","3","3","0","4","4","4","1990","1997","100","N","Y","Y","2","N","1","2855         14TH                      AVE  W  98119","2855 ","   ","  ","14TH                     ","AVE ","W ","98119"
"060550","2"," ","1","3","16","473","0","3","3","31","4","5","4","1957","1997","100","N","N","N","2","N","0","1401      S  HOLGATE                   ST      98144","1401 ","   ","S ","HOLGATE                  ","ST  ","  ","98144"
"062660","3"," ","0","0","0","0","0","0","0","0","0","0","0","2003","2003","0"," "," "," ","0"," ","0","19011        WOODINVILLE-SNOHOMISH     RD   NE 98072","19011","   ","  ","WOODINVILLE-SNOHOMISH    ","RD  ","NE","98072"
"068780","4","86 Residential, 7 Commercial ","1","13","93","589","155","3","4","0","2","6","3","2003","2003","100","Y","Y","Y","2","N","1","2716         ELLIOTT                   AVE     98121","2716 ","   ","  ","ELLIOTT                  ","AVE ","  ","98121"
"080250","1","TOWNHOUSES","1","2","3","1153","3007","2","3","0","4","4","3","1965","1965","100","N","N","N","2","Y","1","14008        GREENWOOD                 AVE  N  98133","14008","   ","  ","GREENWOOD                ","AVE ","N ","98133"
"098340","4","Flats","1","3","119","964","605","4","4","0","5","6","3","2006","2006","100","Y","Y","Y","2","N","1","375          KIRKLAND                  AVE     98033","375  ","   ","  ","KIRKLAND                 ","AVE ","  ","98033"
"102990","1","38 UNIT CONDO","1","4","38","685","414","3","3","0","4","4","3","1992","1992","100","Y","Y","Y","2","Y","1","3022      SW BRADFORD                  ST      98126","3022 ","   ","SW","BRADFORD                 ","ST  ","  ","98126"
"107950","1","FLATS","4","3","20","1084","3715","2","3","0","4","4","4","1989","1997","100","N","Y","Y","2","N","1","8653         AVONDALE                  RD   NE 98052","8653 ","   ","  ","AVONDALE                 ","RD  ","NE","98052"
"128365","4","","1","2","4","720","0","0","0","0","4","4","1","1925","1975","100"," "," "," ","0"," ","0","510          19TH                      AVE  E  98112","510  ","   ","  ","19TH                     ","AVE ","E ","98112"
"131320","1","FLATS","21","2","126","1200","3890","3","3","0","4","4","3","2000","2000","100","N","Y","Y","2","N","1","24100     SE 4TH                       PL      98074","24100","   ","SE","4TH                      ","PL  ","  ","98074"
"133080","1","91 - UNIT CONDO","1","4","91","1082","1589","4","3","0","4","5","4","1967","1985","100","Y","Y"," ","2","Y","1","2501         CANTERBURY                LN   E  98112","2501 ","   ","  ","CANTERBURY               ","LN  ","E ","98112"
"135400","1","24 UNIT CONDOS","6","2","24","980","2566","3","3","0","4","4","4","1979","1979","100","N","N"," ","2","N","1","23804        102ND                     AVE  SE 98031","23804","   ","  ","102ND                    ","AVE ","SE","98031"
"142417","1","150 Flat Units","13","2","150","748","2399","3","3","0","4","4","4","1982","1998","100","N","N","Y","2","N","1","11851     SE 175TH                     ST      98058","11851","   ","SE","175TH                    ","ST  ","  ","98058"
"147145","1"," Condominium","1","2","3","742","1759","3","3","0","4","5","4","1960","1980","100","N","N","Y","1","Y","1","12001        33RD                      AVE  NE 98125","12001","   ","  ","33RD                     ","AVE ","NE","98125"
"152220","1","18 UNIT CONDOMINIUM","1","3","18","652","824","3","3","0","4","4","3","1979","1979","100","N","N","Y","1","N","1","3024      NE 143RD                     ST      98125","3024 ","   ","NE","143RD                    ","ST  ","  ","98125"
"153010","1","13 UNIT CONDOMINIUM","2","2","13","959","2318","3","3","0","4","3","3","1980","1980","100","N","N","Y","2","N","1","1313      W  JAMES                     ST      98032","1313 ","   ","W ","JAMES                    ","ST  ","  ","98032"
"154160","1","8 UNIT CONDO","1","2","8","872","1014","3","3","0","4","4","3","1994","1994","100","N","Y","N","2","Y","1","1517      NE 147TH                     ST      ","1517 ","   ","NE","147TH                    ","ST  ","  ",""
"165750","1","14 RES CONDO","7","2","14","1836","3825","3","3","0","4","5","3","1984","1984","100","N","N","Y","2","N","1","12326        101ST                     CT   NE 98034","12326","   ","  ","101ST                    ","CT  ","NE","98034"
"169750","4","37 RES UNITS + 10 COML UNITS","1","6","47","1078","357","3","4","0","3","5","5","1902","1980","100","Y","Y"," ","1","Y","1","1119         1ST                       AVE     98101","1119 ","   ","  ","1ST                      ","AVE ","  ","98101"
"172440","1","12 Unit Condominium Complex","1","2","12","714","0","3","3","0","4","4","3","2003","2004","100","N","Y","Y","2","N","1","5122      S  MAYFLOWER                 ST      98118","5122 ","   ","S ","MAYFLOWER                ","ST  ","  ","98118"
"178695","1","60 UNIT CONDO CONVERSION","15","2","60","1023","6944","3","3","0","4","4","4","1967","1967","100","N","N","N","2","Y","1","12404     SE 272ND                     PL      98030","12404","   ","SE","272ND                    ","PL  ","  ","98030"
"179200","1","10 TOWNHOUSE UNITS","2","4","10","1096","1200","3","4","0","4","6","4","1988","2000","100","N","Y","Y","2","N","1","3003         14TH                      AVE  W  98119","3003 ","   ","  ","14TH                     ","AVE ","W ","98119"
"002450","1","CONDO 33 UNITS","1","3","33","1189","1503","3","3","0","4","4","4","1979","1979","100","N","Y","Y","2","N","1","22700        28TH                      AVE  S  98198","22700","   ","  ","28TH                     ","AVE ","S ","98198"
"016220","1","24 FLAT UNITS + 2 PARKING UNITS","1","4","24","802","416","3","3","0","4","4","4","1987","1997","100","Y","Y","N","2","Y","1","800       N  ALLEN                     PL      98103","800  ","   ","N ","ALLEN                    ","PL  ","  ","98103"
"029315","1","TOWNHOUSES","4","2","10","933","3195","3","3","0","4","3","3","1990","1990","100","N","N","Y","2","Y","1","1220      NE 177TH                     PL      98155","1220 ","   ","NE","177TH                    ","PL  ","  ","98155"
"029420","4","91 RES UNITS + 2 COML UNITS","1","7","93","636","232","3","4","40","4","5","4","1999","1999","100","Y","Y"," ","2","Y","1","323          QUEEN ANNE                AVE  N  98109","323  ","   ","  ","QUEEN ANNE               ","AVE ","N ","98109"
"032150","1"," 18 CONDO Flats","1","5","18","1043","533","3","3","44","1","5","3","2007","2007","100","Y","Y","Y","2","N","1","3112      SW AVALON                    WAY     ","3112 ","   ","SW","AVALON                   ","WAY ","  ",""
"045160","1","TH & FLATS","7","2","72","1046","2228","3","3","0","4","4","4","1980","1980","100","N","N","Y","2","N","1","4160         128TH                     AVE  SE 98006","4160 ","   ","  ","128TH                    ","AVE ","SE","98006"
"051240","4","17 RES 8 COM'L 1 APT + 22 PKG","2","7","26","1800","554","3","4","0","2","6","3","1994","1994","100","Y","Y"," ","2","N","1","80           VINE                      ST      98121","80   ","   ","  ","VINE                     ","ST  ","  ","98121"
"058650","1","23 UNIT CONDOMINIUM","6","2","23","1446","6364","3","3","0","4","6","4","1978","1998","100","N","N","Y","2","N","1","10003     NE 115TH                     LN      98033","10003","   ","NE","115TH                    ","LN  ","  ","98033"
"058700","1","23 UNIT CONDOMINIUM","2","2","23","839","2513","4","3","0","4","4","4","1962","1962","100","N","N"," ","1","Y","1","28120        REDONDO BEACH             DR   S  98198","28120","   ","  ","REDONDO BEACH            ","DR  ","S ","98198"
"058753","1","26 UNIT CONDO","1","5","26","790","384","3","3","0","4","4","4","1989","1989","100","Y","Y","Y","2","Y","1","2250      NW 58TH                      ST      98107","2250 ","   ","NW","58TH                     ","ST  ","  ","98107"
"059190","1","35 FLAT UNITS","1","4","35","604","310","3","3","0","4","4","4","1988","1997","100","Y","Y"," ","2","N","1","2200         THORNDYKE                 AVE  W  98199","2200 ","   ","  ","THORNDYKE                ","AVE ","W ","98199"
"067750","1","240 CONDO UNITS","10","3","240","810","1815","2","3","0","4","4","4","1978","1993","100","N","N","Y","1","N","1","14620     NE 31ST                      ST      98007","14620","   ","NE","31ST                     ","ST  ","  ","98007"
"068597","4","2 Res Towers Atop Mixed Use Base","2","43","540","1607","196","4","4","0","1","7","3","2008","2008","100","Y","Y","Y","2","N","3","10608     NE 4TH                       ST      ","10608","   ","NE","4TH                      ","ST  ","  ",""
"070300","2","70 UNIT CONDOMINIUM","10","2","70","741","2041","3","4","0","4","5","3","1970","1996","100","N","N","Y","2","Y","0","1415         140TH                     AVE  NE 98000","1415 ","   ","  ","140TH                    ","AVE ","NE","98000"
"070400","1","15 unit & 1 managers unit condo","1","3","16","876","642","3","4","0","4","6","4","1929","1987","100","N","N","N","1","Y","1","750          BELMONT                   AVE  E  98102","750  ","   ","  ","BELMONT                  ","AVE ","E ","98102"
"106700","1","75 UNITS IN DOWNTOWN KIRKLAND","2","5","75","1324","530","4","4","0","4","6","3","1997","1997","100","Y","Y","Y","2","N","1","225          4TH                       AVE     98033","225  ","   ","  ","4TH                      ","AVE ","  ","98033"
"108470","1","9 UNIT CONDO","5","2","9","1500","6183","3","3","0","4","5","3","2000","2000","100","Y","Y","Y","2","N","1","1150         BREMERTON                 CT   NE 98059","1150 ","   ","  ","BREMERTON                ","CT  ","NE","98059"
"108563","1","8 FLAT UNITS","1","3","8","808","750","3","3","0","4","4","4","1990","1997","100","N","Y","N","2","N","1","3228         21ST                      AVE  W  98199","3228 ","   ","  ","21ST                     ","AVE ","W ","98199"
"117295","4","4 UNIT CONDO + 2 COMM UNITS","1","3","4","1341","1050","3","3","0","4","5","3","1998","1998","100","N","N","Y","2","N","1","3408      NE 65TH                      ST      98115","3408 ","   ","NE","65TH                     ","ST  ","  ","98115"
"132151","1","108 Unit Condo","13","1","108","705","3876","3","3","0","4","4","4","1979","1979","100","N","N","N","2","N","1","509       S  323RD                     PL      98003","509  ","   ","S ","323RD                    ","PL  ","  ","98003"
"141978","1","12 UNIT CONDO","1","2","12","988","1861","3","3","0","4","4","4","1965","1975","100","N","N"," ","1","Y","1","315          10TH                      AVE  S  98033","315  ","   ","  ","10TH                     ","AVE ","S ","98033"
"151630","1","19 UNIT CONDO","6","2","19","1516","3999","3","3","0","4","5","4","1989","1989","100","N","N","Y","2","N","1","13811        JUANITA-WOODINVILLE       WAY  NE 98034","13811","   ","  ","JUANITA-WOODINVILLE      ","WAY ","NE","98034"
"152360","1","8 FLAT UNITS","1","3","8","646","800","4","3","0","4","4","4","1984","1997","100","N","Y","Y","2","N","1","3728         BEACH                     DR   SW 98116","3728 ","   ","  ","BEACH                    ","DR  ","SW","98116"
"155220","1","TH & FLATS","3","2","8","970","1916","3","3","0","4","3","3","1982","1982","100","N","N","N","2","N","1","116          17TH                      AVE     98122","116  ","   ","  ","17TH                     ","AVE ","  ","98122"
"156085","1","TOWNHOUSES","1","2","9","870","1777","3","3","0","4","3","3","1980","1980","100","N","N","N","2","Y","1","1910      E  FIR                       ST      98122","1910 ","   ","E ","FIR                      ","ST  ","  ","98122"
"172599","1","72 Residential Units","12","2","72","1360","3383","3","3","0","4","4","4","2002","2002","100","N","N","Y","2","N","1","22609     NE ALDER CREST               DR      98053","22609","   ","NE","ALDER CREST              ","DR  ","  ","98053"
"172781","1","72 UNIT CONDO","6","3","72","921","1923","3","3","0","4","4","4","1980","1995","100","N","N","Y","2","N","1","14300        124TH                     AVE  NE 98034","14300","   ","  ","124TH                    ","AVE ","NE","98034"
"005400","4","65 RES UNITS / 2 COML + 1 GAR","1","4","65","694","565","3","4","0","2","5","3","2002","2002","100","Y","Y","Y","2","N","1","2331         42ND                      AVE  SW ","2331 ","   ","  ","42ND                     ","AVE ","SW",""
"005580","1","TOWNHOUSES","3","3","7","1512","6224","4","3","0","4","6","3","1997","1997","100","N","N","Y","2","N","1","2325         HARBOR                    AVE  SW 98126","2325 ","   ","  ","HARBOR                   ","AVE ","SW","98126"
"013905","1","3 UNITS","1","3","3","1567","2818","4","4","0","4","6","3","1998","1998","100","N","Y","Y","2","Y","1","3830         59TH                      AVE  SW 98116","3830 ","   ","  ","59TH                     ","AVE ","SW","98116"
"014300","1","3 UNITS","1","3","3","1833","2218","3","3","0","4","4","4","1983","1995","100","Y","Y","Y","2","Y","1","3030         64TH                      AVE  SW 98116","3030 ","   ","  ","64TH                     ","AVE ","SW","98116"
"015650","1","3 FLAT UNITS","1","3","3","1395","1849","5","4","0","4","6","5","1966","1996","100","N","N","Y","2","Y","1","3085         ALKI                      AVE  SW 98116","3085 ","   ","  ","ALKI                     ","AVE ","SW","98116"
"020006","4","FLATS, PARKING & CML","2","5","67","638","271","3","3","0","4","4","4","1992","1992","100","Y","Y","Y","2","N","1","506       E  HOWELL                    ST      98122","506  ","   ","E ","HOWELL                   ","ST  ","  ","98122"
"025515","5","133 Unit Apartment","1","7","133","662","0","3","4","0","4","5","3","2017","2017","100","Y","Y","N","2","N","0","4738         15TH                      AVE  NE ","4738 ","   ","  ","15TH                     ","AVE ","NE",""
"025533","1"," FLATS","2","3","25","747","708","3","3","0","4","4","3","1991","2006","100","Y","Y","Y","2","Y","1","2512      E  MADISON                   ST      98112","2512 ","   ","E ","MADISON                  ","ST  ","  ","98112"
"029940","1","50 UNIT CONDO","1","4","50","1192","1650","3","3","0","4","4","3","1980","1985","100","Y","Y","Y","2","N","1","1111      S  ATLANTIC                  ST      98134","1111 ","   ","S ","ATLANTIC                 ","ST  ","  ","98134"
"030000","1","6 CONDO UNITS","1","4","6","1708","1520","3","3","100","4","5","4","1984","1998","100","Y","Y","Y","2","N","1","2500         DEXTER                    AVE  N  98109","2500 ","   ","  ","DEXTER                   ","AVE ","N ","98109"
"030010","4","23 RES UNITS + 2 COM'L UNITS","1","4","25","885","537","3","3","0","4","5","3","2002","2002","100","Y","Y","Y","2","N","1","3121      W  GOVERNMENT                WAY     98199","3121 ","   ","W ","GOVERNMENT               ","WAY ","  ","98199"
"030700","2","11 - UNIT CONDO","1","3","11","800","770","2","3","40","4","4","4","1977","2001","100","N","Y","Y","2","N","0","4710         AURORA                    AVE  N  98103","4710 ","   ","  ","AURORA                   ","AVE ","N ","98103"
"032100","1","16 FLAT UNITS","1","4","16","880","600","3","2","0","4","4","4","1987","1997","100","Y","Y"," ","2","Y","1","3256      SW AVALON                    WAY     98126","3256 ","   ","SW","AVALON                   ","WAY ","  ","98126"
"059050","1","40 UNIT CONDOMINIUM","4","4","40","1436","2137","4","4","0","4","5","4","1976","1995","100","Y","Y","Y","2","N","1","9715      NE JUANITA                   DR      98034","9715 ","   ","NE","JUANITA                  ","DR  ","  ","98034"
"069880","5"," ","1","8","25","577","254","3","4","0","2","6","3","2002","2002","100","Y","Y","N","1"," ","0","2208         2ND                       AVE     98121","2208 ","   ","  ","2ND                      ","AVE ","  ","98121"
"104885","1","Flats","1","4","4","2502","3654","5","4","100","4","7","3","1990","1990","100","Y","Y","Y","2","N","1","4511         LAKE WASHINGTON           BLVD    98033","4511 ","   ","  ","LAKE WASHINGTON          ","BLVD","  ","98033"
"108550","1"," ","3","1","3","1088","3959","3","2","0","4","3","4","1979","2000","100","N","N","N","2","N","1","16629        113TH                     AVE  SE 98055","16629","   ","  ","113TH                    ","AVE ","SE","98055"
"131600","1","144 Unit Condo","38","3","144","1660","3216","3","3","62","4","5","3","2004","2005","100","N","Y","Y","2","N","1","4760         TALBOT                    RD   S  98055","4760 ","   ","  ","TALBOT                   ","RD  ","S ","98055"
"139765","4","4residential 1comml condominium","1","4","5","1299","877","2","3","0","4","3","2","1999","1999","100","N","Y","N","2","N","1","7033         15TH                      AVE  NW 98117","7033 ","   ","  ","15TH                     ","AVE ","NW","98117"
"142000","1","44 UNIT CONDO","8","2","44","828","1897","3","3","0","4","4","3","1978","1978","100","N","N"," ","2","N","1","15705     NE 18TH                      ST      98008","15705","   ","NE","18TH                     ","ST  ","  ","98008"
"145060","1","80 UNIT CONDO","20","2","80","852","2492","3","3","0","4","4","3","1977","1985","100","N","N","Y","2","N","1","12200        100TH                     AVE  NE 98034","12200","   ","  ","100TH                    ","AVE ","NE","98034"
"149613","1","TOWNHOUSES & FLATS","4","3","38","1144","1617","3","2","0","4","3","3","1980","1980","100","N","N","Y","2","N","1","2001      E  YESLER                    WAY     98122","2001 ","   ","E ","YESLER                   ","WAY ","  ","98122"
"153200","1","8 FLATS & TOWNHOUSE UNITS","1","9","8","2243","642","2","4","0","2","7","3","2002","2002","100","Y","Y","Y","2","N","1","505       W  MERCER                    PL      98119","505  ","   ","W ","MERCER                   ","PL  ","  ","98119"
"154180","1","110 UNIT CONDO","11","3","110","846","1786","3","3","0","4","4","3","1980","1980","100","N","N","Y","2","N","1","2503      S  317TH                     ST      98003","2503 ","   ","S ","317TH                    ","ST  ","  ","98003"
"154183","1","28 unit condo","1","2","28","1100","2812","3","3","0","4","5","3","1999","1999","100","Y","Y","Y","2","N","1","12439     NE TOTEM LAKE                WAY     98034","12439","   ","NE","TOTEM LAKE               ","WAY ","  ","98034"
"169910","1","43 Unit Condo","8","3","43","1157","4493","3","3","0","4","4","3","1982","1997","100","N","N","Y","2","Y","1","25801        116TH                     AVE  SE 98030","25801","   ","  ","116TH                    ","AVE ","SE","98030"
"170310","1","FLATS","1","1","5","823","1408","3","4","0","4","5","4","1924","1970","100","N","N","Y","2","Y","1","1703      E  COLUMBIA                  ST      98122","1703 ","   ","E ","COLUMBIA                 ","ST  ","  ","98122"
"006400","4","4 RES UNITS + 2 COM'L UNITS","3","3","6","1591","1329","3","3","0","4","6","3","2001","2001","100","N","N","Y","2","N","1","1821         10TH                      AVE  W  98119","1821 ","   ","  ","10TH                     ","AVE ","W ","98119"
"012060","1","30 FLAT UNITS","1","4","30","840","665","4","4","0","4","6","5","1926","1993","100","Y","Y","N","2","Y","1","2920         ALKI                      AVE  SW 98116","2920 ","   ","  ","ALKI                     ","AVE ","SW","98116"
"019550","4","2bldgs-2comml 60res units","2","6","62","1074","596","2","3","0","4","4","3","1999","1999","100","Y","Y","Y","2","N","1","1000         AURORA                    AVE  N  98109","1000 ","   ","  ","AURORA                   ","AVE ","N ","98109"
"029008","1","2 townhouse and 11 detached condomium ","12","3","13","2015","3461","3","3","0","4","6","3","2017","2017","100","N","N","Y","2","N","1","          NE 141ST                     ST      98034","     ","   ","NE","141ST                    ","ST  ","  ","98034"
"029366","1","TH SFD COTTAGES","4","2","4","1183","4487","3","4","0","4","4","3","2005","2005","100","N","N","N","2","N","4","1605      N  183RD                     ST      98133","1605 ","   ","N ","183RD                    ","ST  ","  ","98133"
"051020","1","FLATS","1","3","14","711","487","3","4","0","4","4","4","1910","1987","100","N","Y","N","1","Y","1","416       E  ROY                       ST      98102","416  ","   ","E ","ROY                      ","ST  ","  ","98102"
"076685","1","FLATS","1","4","28","809","274","3","3","45","3","6","4","1928","1985","100","Y","Y","N","1","Y","1","233          14TH                      AVE  E   ","233  ","   ","  ","14TH                     ","AVE ","E "," "
"081200","2","17 UNIT CONDOMINIUM","1","2","17","764","972","3","3","50","4","3","3","1968","1988","100","N","N","N","0","Y","0","907          HARRINGTON                AVE  NE 98056","907  ","   ","  ","HARRINGTON               ","AVE ","NE","98056"
"081795","3"," ","3","1","0","0","0","0","0","0","4","4","3","2003","2003","100"," "," "," ","0"," ","0","1140         140TH                     AVE  NE 98005","1140 ","   ","  ","140TH                    ","AVE ","NE","98005"
"085030","1","9 unit Townhomes","9","2","9","1","4822","3","4","0","4","6","3","2014","2014","60","N","N","Y","2","N","1","1314         227TH                     AVE  SE 98075","1314 ","   ","  ","227TH                    ","AVE ","SE","98075"
"095870","1","20 FLAT UNITS","1","4","20","829","630","3","3","0","4","4","4","1985","1998","100","Y","Y"," ","2","Y","1","1300      W  BOSTON                    ST      98119","1300 ","   ","W ","BOSTON                   ","ST  ","  ","98119"
"104170","1","Townhouses","4","2","11","1028","2185","4","3","0","4","4","3","1980","1980","100","N","N","Y","2","N","1","12520     SE 30TH                      ST      98005","12520","   ","SE","30TH                     ","ST  ","  ","98005"
"108545","1","72 unit Townhouse Condo","72","3","72","1900","2095","3","3","0","4","4","3","2003","2004","100","N","N","Y","2","N","1","28700        34TH                      AVE  S  98001","28700","   ","  ","34TH                     ","AVE ","S ","98001"
"154200","5"," Multi-family","1","4","29","1251","0","2","4","20","4","6","3","2008","2012","100","N","Y","Y","2"," ","0","12411     NE TOTEM LAKE                WAY     ","12411","   ","NE","TOTEM LAKE               ","WAY ","  ",""
"162400","4","84 RES UNITS & 4 COM'L UNITS","1","6","88","819","279","4","3","33","2","5","3","2006","2006","100","Y","Y"," ","2","N","1","16141        CLEVELAND                 ST      98052","16141","   ","  ","CLEVELAND                ","ST  ","  ","98052"
"174480","2","4 UNIT CONDOMINIUM","4","2","16","920","1682","3","3","0","4","4","4","1979","2001","100","N","N","N","2","N","0","11723        93RD                      AVE  NE 98034","11723","   ","  ","93RD                     ","AVE ","NE","98034"
"174490","1","43 FLAT UNITS + PARKING UNITS","1","8","43","1429","536","3","3","0","1","5","4","1970","1989","100","Y","Y","Y","2","N","1","100          WARD                      ST      98109","100  ","   ","  ","WARD                     ","ST  ","  ","98109"
"181700","4","FLATS+1 CML","1","5","10","1125","600","3","3","0","4","5","3","2001","2001","100","Y","Y","N","2","N","1","1607         SUMMIT                    AVE     98122","1607 ","   ","  ","SUMMIT                   ","AVE ","  ","98122"
"200200","3","DENTAL CONDOMINIUM","1","1","3","1820","5281","4","3","0","4","8","0","1971","1971","100","N","N"," ","0","Y","0","10050     NE 10TH                      ST      98004","10050","   ","NE","10TH                     ","ST  ","  ","98004"
"200650","1","6 UNIT CONDOMINIUM","1","3","6","1557","2000","4","3","0","4","4","4","1979","1979","100","N","N","Y","2","N","1","22508        6TH                       AVE  S  98198","22508","   ","  ","6TH                      ","AVE ","S ","98198"
"213750","4","Condo-FLATS","3","6","78","629","237","3","3","10","4","5","3","2006","2006","100","Y","Y","Y","2","N","1","1026      NE 65TH                      ST      98115","1026 ","   ","NE","65TH                     ","ST  ","  ","98115"
"215460","4","6 RES UNITS + 1 COML UNIT","1","4","7","1147","877","3","3","0","4","5","3","1989","1989","100","Y","Y","Y","2","N","1","2044         EASTLAKE                  AVE  E  98102","2044 ","   ","  ","EASTLAKE                 ","AVE ","E ","98102"
"217630","1","30 UNIT CONDOMINIUM","3","2","30","933","1889","3","3","0","4","4","3","1977","1985","100","N","N","Y","2","N","1","9910      NE 116TH                     ST      98034","9910 ","   ","NE","116TH                    ","ST  ","  ","98034"
"223130","1","FLATS","8","3","102","700","1315","3","3","32","4","4","3","1986","2005","100","N","N","Y","2","Y","1","1150      N  198TH                     ST      98133","1150 ","   ","N ","198TH                    ","ST  ","  ","98133"
"223350","1","FLATS","2","4","24","1055","1677","3","3","0","4","4","3","1979","1979","100","Y","N","Y","2","N","1","19524        ECHO LAKE                 PL   N  98133","19524","   ","  ","ECHO LAKE                ","PL  ","N ","98133"
"228535","1","Single family detached condo","2","1","2","1543","5929","3","3","0","4","4","3","2002","2002","100","N","N","N","2","N","1","1855      NE 171ST                     ST      98155","1855 ","   ","NE","171ST                    ","ST  ","  ","98155"
"228555","1","4 UNIT CONDO","1","2","4","1518","3051","3","3","0","4","5","3","1997","1997","100","N","Y","Y","2","N","1","8035      SE 33RD                      PL      98040","8035 ","   ","SE","33RD                     ","PL  ","  ","98040"
"024220","2","20 UNIT CONDO","1","3","20","791","769","3","3","15","4","4","4","1965","1995","100","N","N"," ","2","Y","0","1727         14TH                      AVE     98122","1727 ","   ","  ","14TH                     ","AVE ","  ","98122"
"029364","2"," ","2","24","440","790","0","5","5","30","2","6","3","2007","2011","100","Y","Y","N","2"," ","0","989          112TH                     AVE  NE ","989  ","   ","  ","112TH                    ","AVE ","NE",""
"029365","1","FLATS","1","4","12","904","500","3","3","0","4","3","3","1994","1994","100","Y","Y","Y","2","N","1","2117      N  107TH                     ST      98133","2117 ","   ","N ","107TH                    ","ST  ","  ","98133"
"029377","1","Townhomes","13","2","50","1350","3160","3","3","0","4","5","3","2003","2004","100","N","N","Y","2","N","1","35327     SE KINSEY                    ST      98065","35327","   ","SE","KINSEY                   ","ST  ","  ","98065"
"029378","1","48 Townhome Units","10","2","48","1604","2417","3","3","0","4","5","3","1999","1999","100","N","Y","Y","2","N","1","11801     SE 4TH                       PL      98005","11801","   ","SE","4TH                      ","PL  ","  ","98005"
"030045","1","14 Unit Condo","4","2","14","900","2490","3","3","0","4","4","3","1990","1990","100","N","N","N","2","Y","1","607          29TH                      ST   SE 98002","607  ","   ","  ","29TH                     ","ST  ","SE","98002"
"045750","1","6 UNIT CONDO","1","3","6","963","833","3","3","0","4","4","4","1993","1993","100","Y","Y","Y","2","N","1","2419      NW 58TH                      ST      98107","2419 ","   ","NW","58TH                     ","ST  ","  ","98107"
"046600","1","20 UNIT CONDO","1","5","20","1057","500","3","3","0","4","5","4","1992","2006","100","Y","Y","Y","2","N","1","1762      NW 57TH                      ST      98107","1762 ","   ","NW","57TH                     ","ST  ","  ","98107"
"052000","3","retail/office","1","1","1","5672","3365","3","3","0","4","4","3","2000","2000","0","Y","Y","N","0","N","1","14           ROY                       ST      98109","14   ","   ","  ","ROY                      ","ST  ","  ","98109"
"058640","4","78 RESID UNITS + 12 COM'L UNITS","1","24","90","1443","331","3","3","0","2","6","4","1982","1982","100","Y","Y","N","2","N","1","2821         2ND                       AVE     98121","2821 ","   ","  ","2ND                      ","AVE ","  ","98121"
"058660","1","Four Residential Townhouse Units","1","2","4","1230","1665","4","3","0","4","4","3","2003","2003","100","N","N","Y","2","N","1","820          2ND                       AVE     98033","820  ","   ","  ","2ND                      ","AVE ","  ","98033"
"064260","1"," ","1","3","5","485","0","3","3","0","4","4","5","1900","1980","100","N","N","N","1","Y","1","1424         BELMONT                   AVE     98122","1424 ","   ","  ","BELMONT                  ","AVE ","  ","98122"
"066220","1","FLATS","1","3","9","874","2468","3","3","0","4","5","4","1981","2003","100","N","N","Y","2","Y","1","8980         REDMOND WOODINVILLE       RD   NE 98052","8980 ","   ","  ","REDMOND WOODINVILLE      ","RD  ","NE","98052"
"066293","1","13 unit Townhome","3","2","13","1663","3270","3","3","0","4","4","3","2003","2003","100","N","N","Y","2","N","1","14860     SE 16TH                      ST      98007","14860","   ","SE","16TH                     ","ST  ","  ","98007"
"067050","1","7 Detached Townhouse Units","7","2","7","2439","11637","4","4","0","4","7","3","2005","2005","100","N","N","Y","2","N","1","1701         100TH                     AVE  NE 98004","1701 ","   ","  ","100TH                    ","AVE ","NE","98004"
"081787","1","2 UNIT CONDO","1","2","2","1573","3345","4","3","0","4","5","3","1996","1996","100","N","N"," ","2","N","1","325       NE BIRCH                     ST      98027","325  ","   ","NE","BIRCH                    ","ST  ","  ","98027"
