,SalePrice,year,ZipCode
0,345000,2017,98109.0
1,405000,2016,98125.0
2,760000,2017,98115.0
3,355000,2017,98126.0
4,315000,2017,98107.0
5,800000,2017,98109.0
6,831500,2017,98117.0
7,450000,2017,98122.0
8,800000,2017,98112.0
9,375000,2016,98126.0
10,649000,2016,98118.0
11,640000,2017,98115.0
12,590000,2017,98115.0
13,550000,2017,98105.0
14,535000,2016,98103.0
15,551000,2017,98122.0
16,950000,2016,98122.0
17,1895000,2016,98109.0
18,275500,2016,98118.0
19,445000,2016,98126.0
20,750000,2017,98126.0
21,700000,2017,98121.0
22,540000,2017,98121.0
23,542000,2017,98112.0
24,1374990,2017,98115.0
25,430000,2016,98115.0
26,525000,2016,98117.0
27,543000,2016,98103.0
28,450000,2017,98103.0
29,279000,2016,98102.0
30,570000,2016,98109.0
31,324000,2017,98125.0
32,925000,2017,98103.0
33,725000,2016,98117.0
34,430000,2017,98126.0
35,1450000,2017,98115.0
36,606000,2017,98103.0
37,667500,2017,98103.0
38,499000,2016,98118.0
39,775000,2016,98116.0
40,1872500,2017,98105.0
41,550000,2016,98107.0
42,759990,2017,98116.0
43,840000,2017,98107.0
44,322000,2016,98115.0
45,415000,2016,98121.0
46,575000,2017,98118.0
47,520000,2017,98133.0
48,706500,2017,98117.0
49,450000,2017,98103.0
50,435000,2016,98109.0
51,943003,2017,98126.0
52,400000,2017,98125.0
53,2400000,2017,98102.0
54,469000,2016,98109.0
55,975000,2017,98105.0
56,359000,2016,98118.0
57,560000,2017,98133.0
58,533000,2017,98115.0
59,300000,2016,98117.0
60,580000,2016,98115.0
61,430000,2016,98107.0
62,2300000,2017,98112.0
63,563000,2017,98115.0
64,765500,2016,98122.0
65,420000,2017,98102.0
66,550000,2017,98133.0
67,875000,2017,98103.0
68,657000,2016,98115.0
69,218000,2017,98118.0
70,550000,2016,98125.0
71,380000,2016,98117.0
72,225000,2016,98115.0
73,262000,2016,98122.0
74,404000,2016,98126.0
75,370000,2017,98118.0
76,479950,2016,98126.0
77,610000,2017,98125.0
78,225000,2016,98126.0
79,1395000,2017,98107.0
