,2_digit_naics,3_digit_naics,industry,avg_wage,monthly_rent_allowance,year,98103,98115,98133,98122,98125,98109,98105,98118,98102,98107,98117,98121,98116,98112,98101,98126,98104
45,45,451.0,"Sporting goods, hobby, book and music stores",21493.0,597.0277777777778,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,45,452.0,General merchandise stores,32298.0,897.1666666666665,2011,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
47,45,453.0,Miscellaneous store retailers,25980.0,721.6666666666665,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,45,454.0,Nonstore retailers,96346.0,2676.277777777778,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
49,48-49,,Transportation and warehousing,56649.0,1573.583333333333,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
50,48,481.0,Air transportation,73360.0,2037.7777777777774,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
51,48,483.0,Water transportation,74701.0,2075.027777777778,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
52,48,484.0,Truck transportation,43402.0,1205.611111111111,2011,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,True,False
53,48,485.0,Transit and ground passenger transportation,29306.0,814.0555555555555,2011,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
54,48,487.0,Scenic and sightseeing transportation,37060.0,1029.4444444444446,2011,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
55,48,488.0,Support activities for transportation,63312.0,1758.666666666667,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
56,49,491.0,Postal service,29389.0,816.3611111111113,2011,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
57,49,492.0,Couriers and messengers,40543.0,1126.1944444444443,2011,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False
58,49,493.0,Warehousing and storage,52235.0,1450.9722222222226,2011,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,True,True
59,51,,Information,139724.0,3881.222222222222,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
60,51,511.0,"Publishing industries, except Internet",164300.0,4563.88888888889,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
61,51,512.0,Motion picture and sound recording industries,33919.0,942.1944444444445,2011,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
62,51,515.0,"Broadcasting, except Internet",76322.0,2120.055555555556,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
63,51,516.0,Internet publishing and broadcasting,0.0,0.0,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,51,517.0,Telecommunications,97607.0,2711.305555555556,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
65,51,518.0,"ISPs, search portals, and data processing",76173.0,2115.9166666666665,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
66,51,519.0,Other information services,111431.0,3095.3055555555547,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
67,52,,Finance and insurance,90918.0,2525.5,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
68,52,522.0,Credit intermediation and related activities,75534.0,2098.1666666666665,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
69,52,523.0,"Securities, commodity contracts, investments",139075.0,3863.1944444444453,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
70,52,524.0,Insurance carriers and related activities,84234.0,2339.833333333333,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
71,53,,Real estate and rental and leasing,49754.0,1382.0555555555554,2011,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,True,True
72,53,531.0,Real estate,50275.0,1396.5277777777774,2011,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,True,True
73,53,532.0,Rental and leasing services,47261.0,1312.8055555555557,2011,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,True,True
74,53,533.0,Lessors of nonfinancial intangible asset,63265.0,1757.361111111111,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
75,54,,Professional and technical services,86648.0,2406.8888888888887,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
76,54,541.0,Professional and technical services,86648.0,2406.8888888888887,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
77,55,,Management of companies and enterprises,109034.0,3028.722222222222,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
78,55,551.0,Management of companies and enterprises,109034.0,3028.722222222222,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
79,56,,Administrative and waste services,47313.0,1314.25,2011,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,True,True
80,56,561.0,Administrative and support services,46924.0,1303.4444444444443,2011,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,True,True
81,56,562.0,Waste management and remediation service,55381.0,1538.361111111111,2011,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True
82,61,,Educational services,36372.0,1010.3333333333335,2011,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
83,61,611.0,Educational services,36372.0,1010.3333333333335,2011,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
84,62,,Health care and social assistance,51358.0,1426.611111111111,2011,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,True,True
85,62,621.0,Ambulatory health care services,58978.0,1638.2777777777774,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
86,62,622.0,Hospitals,73983.0,2055.083333333333,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
87,62,623.0,Nursing and residential care facilities,30899.0,858.3055555555555,2011,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
88,62,624.0,Social assistance,25470.0,707.5,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
89,71,,"Arts, entertainment, and recreation",33294.0,924.8333333333335,2011,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
90,71,711.0,Performing arts and spectator sports,66676.0,1852.111111111111,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
91,71,712.0,"Museums, historical sites, zoos, and parks",34190.0,949.7222222222223,2011,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
92,71,713.0,"Amusements, gambling, and recreation",19184.0,532.8888888888888,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93,72,,Accommodation and food services,21352.0,593.1111111111112,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94,72,721.0,Accommodation,29844.0,829.0,2011,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
95,72,722.0,Food services and drinking places,19911.0,553.0833333333334,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96,81,,"Other services, except public administration",30627.0,850.75,2011,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
97,81,811.0,Repair and maintenance,43713.0,1214.25,2011,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,True,False
98,81,812.0,Personal and laundry services,28708.0,797.4444444444445,2011,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
99,81,813.0,Membership associations and organization,46470.0,1290.8333333333333,2011,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,True,True
100,81,814.0,Private households,15803.0,438.97222222222223,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
101,TOTAL,,Total,65827.0,1828.5277777777774,2012,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True
102,11,,"Agriculture, forestry, fishing and hunting",82619.0,2294.972222222222,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
103,11,111.0,Crop production,27566.0,765.7222222222223,2012,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
104,11,112.0,Animal production,29939.0,831.6388888888887,2012,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
105,11,113.0,Forestry and logging,316375.0,8788.194444444443,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
106,11,114.0,"Fishing, hunting and trapping",131386.0,3649.611111111111,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
107,11,115.0,Agriculture and forestry support activities,27398.0,761.0555555555555,2012,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
108,23,,Construction,61203.0,1700.083333333333,2012,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,True
109,23,236.0,Construction of buildings,64992.0,1805.333333333333,2012,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,True
110,23,237.0,Heavy and civil engineering construction,77897.0,2163.805555555556,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
111,23,238.0,Specialty trade contractors,56277.0,1563.25,2012,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,True
112,31-33,,Manufacturing,79058.0,2196.055555555556,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
113,31,311.0,Food manufacturing,53957.0,1498.8055555555554,2012,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,True,True
114,31,312.0,Beverage and tobacco product manufacturing,55398.0,1538.833333333333,2012,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,True
