title,est_emp,ann_wage,year
Construction & Building Inspectors,1565,78676,2017
Mental Health Counselors,1522,45103,2017
Occupational Therapists,1492,83705,2017
Data Entry Keyers,1491,41538,2017
Insurance Underwriters,1449,84318,2017
Butchers & Meat Cutters,1411,40748,2017
Printing Press Operators,1371,46169,2017
Cargo & Freight Agents,1353,51259,2017
Substance Abuse & Behavioral Disorder Counselors,1342,38774,2017
Merchandise Displayers & Window Trimmers,1334,33751,2017
Physician Assistants,1297,117193,2017
Architectural & Civil Drafters,1227,58936,2017
Editors,1226,63594,2017
"Education Administrators, Postsecondary",1131,111818,2017
Chefs & Head Cooks,1127,58250,2017
Sales Engineers,1121,125460,2017
Travel Agents,1066,48030,2017
Urban & Regional Planners,1064,86216,2017
"Health Technologists & Technicians, All Other",1018,59452,2017
Instructional Coordinators,1003,70348,2017
Surgical Technologists,999,57771,2017
